O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,O*NET-SOC 2010 Description
47-2072.00,Pile-Driver Operators,"Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures, such as buildings, bridges, and piers."
47-2073.00,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties."
47-2081.00,Drywall and Ceiling Tile Installers,"Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings or partitions of buildings to provide support base for plaster, fire-proofing, or acoustical material."
47-2082.00,Tapers,Seal joints between plasterboard or other wallboard to prepare wall surface for painting or papering.
47-2111.00,Electricians,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems."
47-2121.00,Glaziers,"Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops."
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall","Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials."
47-2132.00,"Insulation Workers, Mechanical","Apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature."
47-2141.00,"Painters, Construction and Maintenance","Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency."
47-2142.00,Paperhangers,"Cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards. May remove old materials or prepare surfaces to be papered."
47-2151.00,Pipelayers,"Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints."
47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinklerfitters."
47-2152.01,Pipe Fitters and Steamfitters,"Lay out, assemble, install, or maintain pipe systems, pipe supports, or related hydraulic or pneumatic equipment for steam, hot water, heating, cooling, lubricating, sprinkling, or industrial production or processing systems."
47-2152.02,Plumbers,"Assemble, install, or repair pipes, fittings, or fixtures of heating, water, or drainage systems, according to specifications or plumbing codes."
47-2161.00,Plasterers and Stucco Masons,"Apply interior or exterior plaster, cement, stucco, or similar materials. May also set ornamental plaster."
47-2171.00,Reinforcing Iron and Rebar Workers,"Position and secure steel bars or mesh in concrete forms in order to reinforce concrete. Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools. Includes rod busters."
47-2181.00,Roofers,"Cover roofs of structures with shingles, slate, asphalt, aluminum, wood, or related materials. May spray roofs, sidings, and walls with material to bind, seal, insulate, or soundproof sections of structures."
47-2211.00,Sheet Metal Workers,"Fabricate, assemble, install, and repair sheet metal products and equipment, such as ducts, control boxes, drainpipes, and furnace casings. Work may involve any of the following: setting up and operating fabricating machines to cut, bend, and straighten sheet metal; shaping metal over anvils, blocks, or forms using hammer; operating soldering and welding equipment to join sheet metal parts; or inspecting, assembling, and smoothing seams and joints of burred surfaces. Includes sheet metal duct installers who install prefabricated sheet metal ducts used for heating, air conditioning, or other purposes."
47-2221.00,Structural Iron and Steel Workers,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings."
47-2231.00,Solar Photovoltaic Installers,"Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks."
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3012.00,Helpers--Carpenters,"Help carpenters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3013.00,Helpers--Electricians,"Help electricians by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3016.00,Helpers--Roofers,"Help roofers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-3019.00,"Helpers, Construction Trades, All Other",All construction trades helpers not listed separately.
47-4011.00,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing."
47-4021.00,Elevator Installers and Repairers,"Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters."
47-4031.00,Fence Erectors,"Erect and repair fences and fence gates, using hand and power tools."
47-4041.00,Hazardous Materials Removal Workers,"Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil. Specialized training and certification in hazardous materials handling or a confined entry permit are generally required. May operate earth-moving equipment or trucks."
47-4051.00,Highway Maintenance Workers,"Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement, repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road or plow snow from roadway."
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators."
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,"Clean and repair septic tanks, sewer lines, or drains. May patch walls and partitions of tank, replace damaged drain tile, or repair breaks in underground piping."
47-4091.00,Segmental Pavers,"Lay out, cut, and place segmental paving units. Includes installers of bedding and restraining materials for the paving units."
47-4099.00,"Construction and Related Workers, All Other",All construction and related workers not listed separately.
47-4099.02,Solar Thermal Installers and Technicians,"Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use."
47-4099.03,Weatherization Installers and Technicians,"Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures."
47-5011.00,"Derrick Operators, Oil and Gas",Rig derrick equipment and operate pumps to circulate mud through drill hole.
47-5012.00,"Rotary Drill Operators, Oil and Gas","Set up or operate a variety of drills to remove underground oil and gas, or remove core samples for testing during oil and gas exploration."
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining","Operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells. May also perform similar services in mining exploration operations. Includes fishing-tool technicians."
47-5021.00,"Earth Drillers, Except Oil and Gas","Operate a variety of drills such as rotary, churn, and pneumatic to tap sub-surface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. May use explosives. Includes horizontal and earth boring machine operators."
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters","Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures. Includes seismograph shooters."
47-5041.00,Continuous Mining Machine Operators,"Operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors or into shuttle cars in a continuous operation."
47-5042.00,Mine Cutting and Channeling Machine Operators,"Operate machinery such as longwall shears, plows, and cutting machines to cut or channel along the face or seams of coal mines, stone quarries, or other mining surfaces to facilitate blasting, separating, or removing minerals or materials from mines or from the Earth's surface. Includes shale planers."
47-5049.00,"Mining Machine Operators, All Other",All mining machine operators not listed separately.
47-5051.00,"Rock Splitters, Quarry",Separate blocks of rough dimension stone from quarry mass using jackhammer and wedges.
47-5061.00,"Roof Bolters, Mining",Operate machinery to install roof support bolts in underground mine.
47-5071.00,"Roustabouts, Oil and Gas",Assemble or repair oil field equipment using hand and power tools. Perform other tasks as needed.
47-5081.00,Helpers--Extraction Workers,"Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning work area."
47-5099.00,"Extraction Workers, All Other",All extraction workers not listed separately.
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers","Directly supervise and coordinate the activities of mechanics, installers, and repairers."
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers","Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines."
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers","Repair, install or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles. May test and analyze network coverage."
49-2021.01,Radio Mechanics,Test or repair mobile or stationary radio transmitting and receiving equipment and two-way radio communications systems used in ship-to-shore communications and found in service and emergency vehicles.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Install, set-up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings."
49-2091.00,Avionics Technicians,"Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Repair, maintain, or install electric motors, wiring, or switches."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Install, adjust, or maintain mobile electronics communication equipment, including sound, sonar, security, navigation, and surveillance systems on trains, watercraft, or other mobile equipment."
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Repair, test, adjust, or install electronic equipment, such as industrial controls, transmitters, and antennas."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Inspect, test, repair, or maintain electrical equipment in generating stations, substations, and in-service relays."
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles","Install, diagnose, or repair communications, sound, security, or navigation equipment in motor vehicles."
49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,"Repair, adjust, or install audio or television receivers, stereo systems, camcorders, video systems, or other electronic home entertainment equipment."
49-2098.00,Security and Fire Alarm Systems Installers,"Install, program, maintain, or repair security or fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes."
49-3011.00,Aircraft Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems. Includes helicopter and aircraft engine specialists."
49-3021.00,Automotive Body and Related Repairers,Repair and refinish automotive vehicle bodies and straighten vehicle frames.
49-3022.00,Automotive Glass Installers and Repairers,Replace or repair broken windshields and window glass in motor vehicles.
49-3023.00,Automotive Service Technicians and Mechanics,"Diagnose, adjust, repair, or overhaul automotive vehicles."
49-3023.01,Automotive Master Mechanics,"Repair automobiles, trucks, buses, and other vehicles. Master mechanics repair virtually any part on the vehicle or specialize in the transmission system."
49-3023.02,Automotive Specialty Technicians,"Repair only one system or component on a vehicle, such as brakes, suspension, or radiator."
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,"Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines. Includes mechanics working primarily with automobile or marine diesel engines."
49-3041.00,Farm Equipment Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems."
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines","Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and surface mining."
49-3043.00,Rail Car Repairers,"Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars."
49-3051.00,Motorboat Mechanics and Service Technicians,Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.
49-3052.00,Motorcycle Mechanics,"Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles."
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,"Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment and related equipment."
49-3091.00,Bicycle Repairers,Repair and service bicycles.
49-3092.00,Recreational Vehicle Service Technicians,"Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers. May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components. Includes workers who perform customized van conversions."
49-3093.00,Tire Repairers and Changers,Repair and replace tires.
49-9011.00,Mechanical Door Repairers,"Install, service, or repair automatic door mechanisms and hydraulic doors. Includes garage door mechanics."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors."
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Install or repair heating, central air conditioning, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves."
49-9021.01,Heating and Air Conditioning Mechanics and Installers,"Install, service, or repair heating and air conditioning systems in residences or commercial establishments."
49-9021.02,Refrigeration Mechanics and Installers,Install and repair industrial and commercial refrigerating systems.
49-9031.00,Home Appliance Repairers,"Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens."
49-9041.00,Industrial Machinery Mechanics,"Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems."
49-9043.00,"Maintenance Workers, Machinery","Lubricate machinery, change parts, or perform other routine machinery maintenance."
49-9044.00,Millwrights,"Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings."
49-9045.00,"Refractory Materials Repairers, Except Brickmasons","Build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits and ovens, using refractory materials."
49-9051.00,Electrical Power-Line Installers and Repairers,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.
49-9052.00,Telecommunications Line Installers and Repairers,"Install and repair telecommunications cable, including fiber optics."
49-9061.00,Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment."
49-9062.00,Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment."
49-9063.00,Musical Instrument Repairers and Tuners,"Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning."
49-9064.00,Watch Repairers,"Repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks. Includes watchmakers, watch technicians, and mechanical timepiece repairers."
49-9069.00,"Precision Instrument and Equipment Repairers, All Other",All precision instrument and equipment repairers not listed separately.
49-9071.00,"Maintenance and Repair Workers, General","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of an establishment in repair. Duties may involve pipe fitting; boiler making; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs."
49-9081.00,Wind Turbine Service Technicians,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions."
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers","Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines."
49-9092.00,Commercial Divers,"Work below surface of water, using scuba gear to inspect, repair, remove, or install equipment and structures. May use a variety of power and hand tools, such as drills, sledgehammers, torches, and welding equipment. May conduct tests or experiments, rig explosives, or photograph structures or marine life."
49-9093.00,"Fabric Menders, Except Garment","Repair tears, holes, and other defects in fabrics, such as draperies, linens, parachutes, and tents."
49-9094.00,Locksmiths and Safe Repairers,Repair and open locks; make keys; change locks and safe combinations; and install and repair safes.
49-9095.00,Manufactured Building and Mobile Home Installers,Move or install mobile homes or prefabricated buildings.
49-9096.00,Riggers,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry."
49-9097.00,Signal and Track Switch Repairers,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system."
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers","Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers."
49-9099.00,"Installation, Maintenance, and Repair Workers, All Other","All installation, maintenance, and repair workers not listed separately."
49-9099.01,Geothermal Technicians,"Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps."
51-1011.00,First-Line Supervisors of Production and Operating Workers,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators."
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems."
51-2021.00,"Coil Winders, Tapers, and Finishers","Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment."
51-2022.00,Electrical and Electronic Equipment Assemblers,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries."
51-2023.00,Electromechanical Equipment Assemblers,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances."
51-2031.00,Engine and Other Machine Assemblers,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing."
51-2041.00,Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products."
51-2091.00,Fiberglass Laminators and Fabricators,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products."
51-2092.00,Team Assemblers,Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.
51-2093.00,Timing Device Assemblers and Adjusters,"Perform precision assembling, adjusting, or calibrating, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components."
51-2099.00,"Assemblers and Fabricators, All Other",All assemblers and fabricators not listed separately.
51-3011.00,Bakers,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods."
51-3021.00,Butchers and Meat Cutters,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments."
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood."
51-3023.00,Slaughterers and Meat Packers,"Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats."
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment."
51-3092.00,Food Batchmakers,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.
51-3093.00,Food Cooking Machine Operators and Tenders,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products."
51-3099.00,"Food Processing Workers, All Other",All food processing workers not listed separately.
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic work pieces.
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","Develop programs to control machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems."
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes."
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts."
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate or to flatten, temper, or reduce gauge of material."
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material."
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces."
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces."
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock."
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces."
51-4041.00,Machinists,"Set up and operate a variety of machine tools to produce precision parts and instruments. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures."
51-4051.00,Metal-Refining Furnace Operators and Tenders,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel."
51-4052.00,"Pourers and Casters, Metal",Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.
51-4061.00,"Model Makers, Metal and Plastic","Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers."
51-4062.00,"Patternmakers, Metal and Plastic","Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates."
51-4071.00,Foundry Mold and Coremakers,Make or form wax or sand cores or molds used in the production of metal castings in foundries.
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products."
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend more than one type of cutting or forming machine tool or robot."
51-4111.00,Tool and Die Makers,"Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools."
51-4121.00,"Welders, Cutters, Solderers, and Brazers","Use hand-welding, flame-cutting, hand soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products."
51-4121.06,"Welders, Cutters, and Welder Fitters","Use hand-welding or flame-cutting equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products."
51-4121.07,Solderers and Brazers,"Braze or solder together components to assemble fabricated metal parts, using soldering iron, torch, or welding machine and flux."
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines."
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat-treat metal or plastic objects."
51-4192.00,"Layout Workers, Metal and Plastic","Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters."
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Includes electrolytic processes."
51-4194.00,"Tool Grinders, Filers, and Sharpeners","Perform precision smoothing, sharpening, polishing, or grinding of metal objects."
51-4199.00,"Metal Workers and Plastic Workers, All Other",All metal workers and plastic workers not listed separately.
51-5111.00,Prepress Technicians and Workers,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.
51-5112.00,Printing Press Operators,"Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses."
51-5113.00,Print Binding and Finishing Workers,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.
51-6011.00,Laundry and Dry-Cleaning Workers,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles."
51-6021.00,"Pressers, Textile, Garment, and Related Materials",Press or shape articles by hand or machine.
51-6031.00,Sewing Machine Operators,"Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products."
51-6041.00,Shoe and Leather Workers and Repairers,"Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles."
51-6042.00,Shoe Machine Operators and Tenders,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts."
51-6051.00,"Sewers, Hand","Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers."
51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Design, make, alter, repair, or fit garments."
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,"Operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers."
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut textiles."
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that knit, loop, weave, or draw in textiles."
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators."
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass."
51-6092.00,Fabric and Apparel Patternmakers,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.
51-6093.00,Upholsterers,"Make, repair, or replace upholstery for household furniture or transportation vehicles."
51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other","All textile, apparel, and furnishings workers not listed separately."
